Time_abs/ps, Signal/nA
  1044.050,     1.339346
  1044.100,     1.342470
  1044.150,     1.349791
  1044.200,     1.359326
  1044.250,     1.375058
  1044.300,     1.392301
  1044.350,     1.411148
  1044.400,     1.430651
  1044.450,     1.453390
  1044.500,     1.477675
  1044.550,     1.500627
  1044.600,     1.525966
  1044.650,     1.552773
  1044.700,     1.579894
  1044.750,     1.607867
  1044.800,     1.640797
  1044.850,     1.673377
  1044.900,     1.713599
  1044.950,     1.757330
  1045.000,     1.804385
  1045.050,     1.855677
  1045.100,     1.909825
  1045.150,     1.963959
  1045.200,     2.021133
  1045.250,     2.075809
  1045.300,     2.130237
  1045.350,     2.183221
  1045.400,     2.231769
  1045.450,     2.279088
  1045.500,     2.323983
  1045.550,     2.368745
  1045.600,     2.406158
  1045.650,     2.439187
  1045.700,     2.472218
  1045.750,     2.501497
  1045.800,     2.527929
  1045.850,     2.552632
  1045.900,     2.576561
  1045.950,     2.597513
  1046.000,     2.614047
  1046.050,     2.630347
  1046.100,     2.647249
  1046.150,     2.665365
  1046.200,     2.677750
  1046.250,     2.689722
  1046.300,     2.702870
  1046.350,     2.715560
  1046.400,     2.728114
  1046.450,     2.741072
  1046.500,     2.753811
  1046.550,     2.769376
  1046.600,     2.783740
  1046.650,     2.800522
  1046.700,     2.820370
  1046.750,     2.837919
  1046.800,     2.857919
  1046.850,     2.878718
  1046.900,     2.904284
  1046.950,     2.929839
  1047.000,     2.959983
  1047.050,     2.991053
  1047.100,     3.024125
  1047.150,     3.063660
  1047.200,     3.097968
  1047.250,     3.136575
  1047.300,     3.172508
  1047.350,     3.210044
  1047.400,     3.245289
  1047.450,     3.278079
  1047.500,     3.306998
  1047.550,     3.334457
  1047.600,     3.355526
  1047.650,     3.376049
  1047.700,     3.388170
  1047.750,     3.402533
  1047.800,     3.410582
  1047.850,     3.418965
  1047.900,     3.427438
  1047.950,     3.433798
  1048.000,     3.437639
  1048.050,     3.437188
  1048.100,     3.430671
  1048.150,     3.422073
  1048.200,     3.408129
  1048.250,     3.388697
  1048.300,     3.370409
  1048.350,     3.349412
  1048.400,     3.331936
  1048.450,     3.316230
  1048.500,     3.297229
  1048.550,     3.283498
  1048.600,     3.273782
  1048.650,     3.264012
  1048.700,     3.253698
  1048.750,     3.253605
  1048.800,     3.252012
  1048.850,     3.252566
  1048.900,     3.260484
  1048.950,     3.269196
  1049.000,     3.281608
  1049.050,     3.298684
  1049.100,     3.322147
  1049.150,     3.349409
  1049.200,     3.379221
  1049.250,     3.416620
  1049.300,     3.460622
  1049.350,     3.505081
  1049.400,     3.556028
  1049.450,     3.605504
  1049.500,     3.656227
  1049.550,     3.709465
  1049.600,     3.767227
  1049.650,     3.820543
  1049.700,     3.870703
  1049.750,     3.925383
  1049.800,     3.978519
  1049.850,     4.030487
  1049.900,     4.078132
  1049.950,     4.121193
  1050.000,     4.166120
  1050.050,     4.199989
  1050.100,     4.236775
  1050.150,     4.266509
  1050.200,     4.290562
  1050.250,     4.312935
  1050.300,     4.335976
  1050.350,     4.360446
  1050.400,     4.386862
  1050.450,     4.412425
  1050.500,     4.443498
  1050.550,     4.478584
  1050.600,     4.513539
  1050.650,     4.555296
  1050.700,     4.597864
  1050.750,     4.638509
  1050.800,     4.683618
  1050.850,     4.727743
  1050.900,     4.771854
  1050.950,     4.821897
  1051.000,     4.868043
  1051.050,     4.918436
  1051.100,     4.969945
  1051.150,     5.021914
  1051.200,     5.076368
  1051.250,     5.131331
  1051.300,     5.186063
  1051.350,     5.243331
  1051.400,     5.298612
  1051.450,     5.354016
  1051.500,     5.407024
  1051.550,     5.464929
  1051.600,     5.520676
  1051.650,     5.580481
  1051.700,     5.642162
  1051.750,     5.708275
  1051.800,     5.772317
  1051.850,     5.841221
  1051.900,     5.915019
  1051.950,     5.989335
  1052.000,     6.066569
  1052.050,     6.146540
  1052.100,     6.224827
  1052.150,     6.298467
  1052.200,     6.375630
  1052.250,     6.451750
  1052.300,     6.522741
  1052.350,     6.588095
  1052.400,     6.654316
  1052.450,     6.717082
  1052.500,     6.777505
  1052.550,     6.835549
  1052.600,     6.893936
  1052.650,     6.951732
  1052.700,     7.009625
  1052.750,     7.068347
  1052.800,     7.128906
  1052.850,     7.188621
  1052.900,     7.253778
  1052.950,     7.317816
  1053.000,     7.382563
  1053.050,     7.448778
  1053.100,     7.515070
  1053.150,     7.580374
  1053.200,     7.643092
  1053.250,     7.702981
  1053.300,     7.761843
  1053.350,     7.812515
  1053.400,     7.864022
  1053.450,     7.909477
  1053.500,     7.950842
  1053.550,     7.985705
  1053.600,     8.024221
  1053.650,     8.058331
  1053.700,     8.087109
  1053.750,     8.115482
  1053.800,     8.144944
  1053.850,     8.175185
  1053.900,     8.201322
  1053.950,     8.229830
  1054.000,     8.256897
  1054.050,     8.285513
  1054.100,     8.309730
  1054.150,     8.333998
  1054.200,     8.354785
  1054.250,     8.370408
  1054.300,     8.383119
  1054.350,     8.385159
  1054.400,     8.387637
  1054.450,     8.378337
  1054.500,     8.363675
  1054.550,     8.352482
  1054.600,     8.335265
  1054.650,     8.313272
  1054.700,     8.292125
  1054.750,     8.272658
  1054.800,     8.253112
  1054.850,     8.237273
  1054.900,     8.220989
  1054.950,     8.211374
  1055.000,     8.201755
  1055.050,     8.197044
  1055.100,     8.197049
  1055.150,     8.198297
  1055.200,     8.208889
  1055.250,     8.225210
  1055.300,     8.240436
  1055.350,     8.262521
  1055.400,     8.293671
  1055.450,     8.325245
  1055.500,     8.361732
  1055.550,     8.400449
  1055.600,     8.446828
  1055.650,     8.490820
  1055.700,     8.539286
  1055.750,     8.588898
  1055.800,     8.640047
  1055.850,     8.691427
  1055.900,     8.733336
  1055.950,     8.777746
  1056.000,     8.815069
  1056.050,     8.849880
  1056.100,     8.874320
  1056.150,     8.896001
  1056.200,     8.914297
  1056.250,     8.932904
  1056.300,     8.945154
  1056.350,     8.957762
  1056.400,     8.969068
  1056.450,     8.980445
  1056.500,     8.992998
  1056.550,     9.002680
  1056.600,     9.018858
  1056.650,     9.029944
  1056.700,     9.042266
  1056.750,     9.050487
  1056.800,     9.056642
  1056.850,     9.057882
  1056.900,     9.050743
  1056.950,     9.044144
  1057.000,     9.031146
  1057.050,     9.012827
  1057.100,     8.992851
  1057.150,     8.968136
  1057.200,     8.941094
  1057.250,     8.911094
  1057.300,     8.879768
  1057.350,     8.844358
  1057.400,     8.813176
  1057.450,     8.778133
